Setup complete. Steps per week: 672
CloudClusterEnv defined.

=======================================================
Training sla-focused, training seed 1
=======================================================
steps 219136 | recent ep reward    -20.5
steps 221184 | recent ep reward    -16.6
steps 223232 | recent ep reward    -14.5
steps 225280 | recent ep reward    -15.7
steps 227328 | recent ep reward    -15.5
steps 229376 | recent ep reward    -14.8
steps 231424 | recent ep reward    -13.0
steps 233472 | recent ep reward    -14.2
steps 235520 | recent ep reward    -15.0
steps 237568 | recent ep reward    -12.1
steps 239616 | recent ep reward    -10.6
steps 241664 | recent ep reward    -10.3
steps 243712 | recent ep reward    -10.5
steps 245760 | recent ep reward     -8.4
steps 247808 | recent ep reward    -10.3
steps 249856 | recent ep reward    -10.1
steps 251904 | recent ep reward     -7.8
Trained in 5.7 min
seed 2: cost 182.4 ± 0.7   breaches 178 ± 186

=======================================================
Training sla-focused, training seed 3
=======================================================
steps   2048 | recent ep reward   -163.0
steps   4096 | recent ep reward   -177.0
steps   6144 | recent ep reward   -187.7
steps   8192 | recent ep reward   -176.1
steps  10240 | recent ep reward   -146.1
steps  12288 | recent ep reward   -145.0
steps  14336 | recent ep reward   -150.3
steps  16384 | recent ep reward   -152.1
steps  18432 | recent ep reward   -151.7
steps  20480 | recent ep reward   -151.2
steps  22528 | recent ep reward   -147.2
steps  24576 | recent ep reward   -145.3
steps  26624 | recent ep reward   -144.1
steps  28672 | recent ep reward   -140.8
steps  30720 | recent ep reward   -144.8
steps  32768 | recent ep reward   -158.2
steps  34816 | recent ep reward   -149.9
steps  36864 | recent ep reward   -157.4
steps  38912 | recent ep reward   -160.8
steps  40960 | recent ep reward   -157.9
steps  43008 | recent ep reward   -156.5
steps  45056 | recent ep reward   -158.2
steps  47104 | recent ep reward   -165.5
steps  49152 | recent ep reward   -154.5
steps  51200 | recent ep reward   -146.4
steps  53248 | recent ep reward   -154.5
steps  55296 | recent ep reward   -170.8
steps  57344 | recent ep reward   -157.2
steps  59392 | recent ep reward   -148.4
steps  61440 | recent ep reward   -146.8
steps  63488 | recent ep reward   -158.7
